layer,head,method,k,n_bits_per_dim,bits_per_vector,budget,eff_rank_90,K_mse_logits,K_mae_logits,K_kl_divergence,K_l1_attention,K_top1_agreement
2,4,subspace_k64_fixed,64,8,512,4bit_budget,27,1.392455652867852e-05,0.0028745552552784546,6.89914251748647e-06,0.0028616439970574714,0.65625
2,4,subspace_adaptive,27,19,513,4bit_budget,27,3.4778849181166186e-05,0.004533026509878236,1.724415031645778e-05,0.004515543973973526,0.43359375
2,5,full_dim,128,2,256,2bit_budget,31,4.4562646250852004e-05,0.0051750127137832475,2.222141796830358e-05,0.005169712795814016,0.375
2,5,subspace_k64_fixed,64,4,256,2bit_budget,31,1.1526781591015158e-05,0.002634072007927663,5.7341804457380615e-06,0.0026271312451528017,0.52734375
2,5,subspace_adaptive,31,8,248,2bit_budget,31,2.1476719923660222e-05,0.0035791984022960468,1.065940523322461e-05,0.0035655456157995154,0.4140625
2,5,full_dim,128,4,512,4bit_budget,31,1.7861469370996857e-06,0.0010381507787107047,8.896445191298827e-07,0.0010366015257082352,0.85546875
2,5,subspace_k64_fixed,64,8,512,4bit_budget,31,9.792348609030256e-06,0.0024194531996304426,4.87072009144069e-06,0.0024119257201448757,0.5390625
2,5,subspace_adaptive,31,17,527,4bit_budget,31,2.145012743664358e-05,0.0035768831017984754,1.0646698492485136e-05,0.0035633563272172014,0.4140625
2,6,full_dim,128,2,256,2bit_budget,19,7.693211175204191e-05,0.0067529367728086315,3.822699707462528e-05,0.0067297656603088635,0.41015625
2,6,subspace_k64_fixed,64,4,256,2bit_budget,19,1.073773132762026e-05,0.002516518574465658,5.329277779868713e-06,0.002507952246786534,0.65234375
2,6,subspace_adaptive,19,13,247,2bit_budget,19,3.1059626228666256e-05,0.004295460919687976,1.5458698363426224e-05,0.004283934597422866,0.45703125
2,6,full_dim,128,4,512,4bit_budget,19,3.152484192791894e-06,0.0013625911570989912,1.5733802234995843e-06,0.0013607655332607794,0.84375
2,6,subspace_k64_fixed,64,8,512,4bit_budget,19,7.271164267050436e-06,0.00206464843961892,3.601066040987291e-06,0.0020575181177400767,0.68359375
2,6,subspace_adaptive,19,27,513,4bit_budget,19,3.105894083666981e-05,0.004295426039542445,1.5458372531983628e-05,0.0042839013562987836,0.45703125
2,7,full_dim,128,2,256,2bit_budget,24,0.00014236954053643597,0.009206583240628358,7.084751471075132e-05,0.009181789981006041,0.3984375
2,7,subspace_k64_fixed,64,4,256,2bit_budget,24,1.7502956780998606e-05,0.00323660870168746,8.702749623550632e-06,0.0032262744628430533,0.703125
2,7,subspace_adaptive,24,11,264,2bit_budget,24,5.719702863856278e-05,0.005776978824670015,2.8349449503887145e-05,0.0057516466477514055,0.5703125
2,7,full_dim,128,4,512,4bit_budget,24,5.703805597840756e-06,0.001839306168036725,2.846020893895725e-06,0.0018380367313047914,0.77734375
