config,position,loss,ppl
baseline,523,1.458984375,4.30078125
baseline,524,4.87109375,130.5
baseline,525,1.2822265625,3.60546875
baseline,526,10.2734375,28960.0
baseline,527,2.123046875,8.359375
baseline,528,3.404296875,30.09375
baseline,529,0.34326171875,1.4091796875
baseline,530,0.12396240234375,1.1318359375
baseline,531,7.0625,1167.0
baseline,532,3.0859375,21.890625
baseline,533,4.7421875,114.6875
baseline,534,1.21875,3.3828125
baseline,535,0.0157928466796875,1.015625
baseline,536,0.013031005859375,1.0126953125
baseline,537,9.6796875,15992.0
baseline,538,0.0267333984375,1.02734375
baseline,539,0.93798828125,2.5546875
baseline,540,0.89501953125,2.447265625
baseline,541,1.1962890625,3.30859375
baseline,542,2.09765625,8.1484375
baseline,543,2.72265625,15.21875
baseline,544,0.06097412109375,1.0625
baseline,545,0.0016813278198242188,1.001953125
baseline,546,6.9141387939453125e-06,1.0
baseline,547,1.1920928955078125e-07,1.0
baseline,548,2.181529998779297e-05,1.0
baseline,549,0.0007171630859375,1.0009765625
baseline,550,3.13671875,23.03125
baseline,551,0.134033203125,1.1435546875
baseline,552,1.5595703125,4.7578125
baseline,553,2.046875,7.7421875
baseline,554,0.84716796875,2.333984375
baseline,555,5.8671875,353.25
baseline,556,1.4833984375,4.40625
baseline,557,4.95703125,142.125
baseline,558,0.12103271484375,1.12890625
baseline,559,0.00836944580078125,1.0087890625
baseline,560,0.48291015625,1.62109375
baseline,561,0.73876953125,2.09375
baseline,562,0.2464599609375,1.279296875
baseline,563,1.5986328125,4.9453125
baseline,564,4.9765625,145.0
baseline,565,3.875,48.1875
baseline,566,9.2265625,10160.0
baseline,567,2.376953125,10.7734375
baseline,568,0.287841796875,1.333984375
baseline,569,0.0726318359375,1.0751953125
baseline,570,2.3359375,10.3359375
baseline,571,0.81005859375,2.248046875
baseline,572,0.023223876953125,1.0234375
baseline,573,2.353515625,10.5234375
baseline,574,9.578125,14448.0
baseline,575,0.98974609375,2.69140625
baseline,576,2.62109375,13.75
baseline,577,1.7939453125,6.01171875
baseline,578,1.0048828125,2.732421875
baseline,579,0.7607421875,2.140625
baseline,580,3.134765625,22.984375
baseline,581,7.1796875,1312.0
baseline,582,1.2314453125,3.42578125
baseline,583,0.025482177734375,1.025390625
baseline,584,0.00010251998901367188,1.0
baseline,585,0.226318359375,1.25390625
baseline,586,3.072265625,21.59375
baseline,587,0.4853515625,1.625
baseline,588,0.39453125,1.4833984375
baseline,589,0.0184478759765625,1.0185546875
baseline,590,2.783203125,16.171875
baseline,591,0.08282470703125,1.0859375
baseline,592,5.71484375,303.25
baseline,593,4.1328125,62.34375
baseline,594,0.398193359375,1.4892578125
baseline,595,0.57177734375,1.771484375
baseline,596,3.41796875,30.5
baseline,597,5.2578125,192.0
baseline,598,0.7919921875,2.20703125
baseline,599,2.7421875,15.5234375
baseline,600,1.400390625,4.05859375
baseline,601,1.59375,4.921875
baseline,602,1.1904296875,3.2890625
baseline,603,1.5224609375,4.58203125
baseline,604,2.578125,13.171875
baseline,605,3.021484375,20.515625
baseline,606,5.62109375,276.25
baseline,607,3.615234375,37.15625
baseline,608,0.5205078125,1.6826171875
baseline,609,0.0011816024780273438,1.0009765625
baseline,610,2.7734375,16.015625
baseline,611,0.0034580230712890625,1.00390625
baseline,612,2.439453125,11.46875
baseline,613,1.509765625,4.52734375
baseline,614,1.21484375,3.369140625
baseline,615,9.015625,8232.0
baseline,616,9.5390625,13888.0
baseline,617,0.39599609375,1.486328125
baseline,618,0.332763671875,1.39453125
baseline,619,0.5810546875,1.7880859375
baseline,620,0.1253662109375,1.1337890625
baseline,621,3.076171875,21.671875
baseline,622,6.640625,765.5
baseline,623,2.26171875,9.6015625
baseline,624,4.08203125,59.28125
baseline,625,3.189453125,24.28125
baseline,626,5.7578086853027344e-05,1.0
baseline,627,0.0002155303955078125,1.0
baseline,628,3.400390625,29.96875
baseline,629,5.69140625,296.25
baseline,630,3.7578125,42.84375
baseline,631,2.7578125,15.765625
baseline,632,5.25,190.625
baseline,633,1.203125,3.330078125
baseline,634,2.380859375,10.8125
baseline,635,6.51171875,673.0
