reference,compare,layer,head,kv_type,overlap,n_principal_angles,mean_cos2
early,mid_late,32,6,V,0.7123241424560547,64,0.7123241424560547
early,mid_late,32,7,K,0.792587161064148,64,0.792587161064148
early,mid_late,32,7,V,0.744324803352356,64,0.744324803352356
early,mid_late,33,0,K,0.8750906586647034,64,0.8750906586647034
early,mid_late,33,0,V,0.6844593286514282,64,0.6844593286514282
early,mid_late,33,1,K,0.9121188521385193,64,0.9121188521385193
early,mid_late,33,1,V,0.652885913848877,64,0.652885913848877
early,mid_late,33,2,K,0.8455495834350586,64,0.8455495834350586
early,mid_late,33,2,V,0.7072597742080688,64,0.7072597742080688
early,mid_late,33,3,K,0.7615850567817688,64,0.7615850567817688
early,mid_late,33,3,V,0.6741667985916138,64,0.6741667985916138
early,mid_late,33,4,K,0.7850726842880249,64,0.7850726842880249
early,mid_late,33,4,V,0.6324244737625122,64,0.6324244737625122
early,mid_late,33,5,K,0.8949501514434814,64,0.8949501514434814
early,mid_late,33,5,V,0.6902511119842529,64,0.6902511119842529
early,mid_late,33,6,K,0.857982873916626,64,0.857982873916626
early,mid_late,33,6,V,0.7726791501045227,64,0.7726791501045227
early,mid_late,33,7,K,0.7954905033111572,64,0.7954905033111572
early,mid_late,33,7,V,0.6727843284606934,64,0.6727843284606934
early,mid_late,34,0,K,0.746874213218689,64,0.746874213218689
early,mid_late,34,0,V,0.678420901298523,64,0.678420901298523
early,mid_late,34,1,K,0.902172327041626,64,0.902172327041626
early,mid_late,34,1,V,0.6282720565795898,64,0.6282720565795898
early,mid_late,34,2,K,0.8962134122848511,64,0.8962134122848511
early,mid_late,34,2,V,0.6729564666748047,64,0.6729564666748047
early,mid_late,34,3,K,0.864595890045166,64,0.864595890045166
early,mid_late,34,3,V,0.6707513928413391,64,0.6707513928413391
early,mid_late,34,4,K,0.7869987487792969,64,0.7869987487792969
early,mid_late,34,4,V,0.7107514142990112,64,0.7107514142990112
early,mid_late,34,5,K,0.8353668451309204,64,0.8353668451309204
early,mid_late,34,5,V,0.6182210445404053,64,0.6182210445404053
early,mid_late,34,6,K,0.8519026637077332,64,0.8519026637077332
early,mid_late,34,6,V,0.7015962600708008,64,0.7015962600708008
early,mid_late,34,7,K,0.8940348625183105,64,0.8940348625183105
early,mid_late,34,7,V,0.7235243916511536,64,0.7235243916511536
early,mid_late,35,0,K,0.8920659422874451,64,0.8920659422874451
early,mid_late,35,0,V,0.6799806952476501,64,0.6799806952476501
early,mid_late,35,1,K,0.9071223139762878,64,0.9071223139762878
early,mid_late,35,1,V,0.6530910730361938,64,0.6530910730361938
early,mid_late,35,2,K,0.8963465690612793,64,0.8963465690612793
early,mid_late,35,2,V,0.6534898281097412,64,0.6534898281097412
early,mid_late,35,3,K,0.9007022976875305,64,0.9007022976875305
early,mid_late,35,3,V,0.6673064231872559,64,0.6673064231872559
early,mid_late,35,4,K,0.85871821641922,64,0.85871821641922
early,mid_late,35,4,V,0.7440136075019836,64,0.7440136075019836
early,mid_late,35,5,K,0.7550603151321411,64,0.7550603151321411
early,mid_late,35,5,V,0.6970144510269165,64,0.6970144510269165
early,mid_late,35,6,K,0.9081666469573975,64,0.9081666469573975
early,mid_late,35,6,V,0.6404242515563965,64,0.6404242515563965
early,mid_late,35,7,K,0.8058167695999146,64,0.8058167695999146
early,mid_late,35,7,V,0.667241096496582,64,0.667241096496582
early,mid_late,36,0,K,0.7595305442810059,64,0.7595305442810059
early,mid_late,36,0,V,0.6075230240821838,64,0.6075230240821838
early,mid_late,36,1,K,0.7140515446662903,64,0.7140515446662903
early,mid_late,36,1,V,0.6385883092880249,64,0.6385883092880249
early,mid_late,36,2,K,0.7708866596221924,64,0.7708866596221924
early,mid_late,36,2,V,0.6488119959831238,64,0.6488119959831238
early,mid_late,36,3,K,0.8045145273208618,64,0.8045145273208618
early,mid_late,36,3,V,0.6551491022109985,64,0.6551491022109985
early,mid_late,36,4,K,0.7824658155441284,64,0.7824658155441284
early,mid_late,36,4,V,0.610489010810852,64,0.610489010810852
early,mid_late,36,5,K,0.9183943867683411,64,0.9183943867683411
early,mid_late,36,5,V,0.6542342901229858,64,0.6542342901229858
early,mid_late,36,6,K,0.7817641496658325,64,0.7817641496658325
early,mid_late,36,6,V,0.6954656839370728,64,0.6954656839370728
early,mid_late,36,7,K,0.8452109098434448,64,0.8452109098434448
early,mid_late,36,7,V,0.6457933187484741,64,0.6457933187484741
early,mid_late,37,0,K,0.8507595062255859,64,0.8507595062255859
early,mid_late,37,0,V,0.6508738398551941,64,0.6508738398551941
early,mid_late,37,1,K,0.7665975093841553,64,0.7665975093841553
early,mid_late,37,1,V,0.6355577707290649,64,0.6355577707290649
early,mid_late,37,2,K,0.7747641801834106,64,0.7747641801834106
early,mid_late,37,2,V,0.6807922124862671,64,0.6807922124862671
