n,T_h,rho,hamming_mean,hamming_std
1,0.003,0.002,0.36458333333333337,0.07189764136140583
1,0.01,0.0,0.5750000000000001,0.0478713553878169
1,0.01,0.00013333333333333334,0.6083333333333334,0.04639803635691683
1,0.01,0.0002666666666666667,0.6041666666666667,0.04145780987944248
1,0.01,0.0004,0.6291666666666667,0.030900827029565266
1,0.01,0.0005333333333333334,0.6,0.04714045207910316
1,0.01,0.0006666666666666668,0.6041666666666666,0.047689679759414974
1,0.01,0.0008,0.6270833333333333,0.0416145507404962
1,0.01,0.0009333333333333333,0.6604166666666667,0.05829611908180509
1,0.01,0.0010666666666666667,0.6020833333333333,0.04960783708246106
1,0.01,0.0012000000000000001,0.58125,0.02938903329097058
1,0.01,0.0013333333333333335,0.5666666666666667,0.03996526269427265
1,0.01,0.0014666666666666667,0.5666666666666667,0.03333333333333332
1,0.01,0.0016,0.5416666666666667,0.05527707983925666
1,0.01,0.0017333333333333335,0.575,0.047871355387816894
1,0.01,0.0018666666666666666,0.55625,0.04925662673973702
1,0.01,0.002,0.53125,0.08637671850678284
1,0.03,0.0,0.6083333333333333,0.04639803635691684
1,0.03,0.00013333333333333334,0.6166666666666667,0.04487637339278752
1,0.03,0.0002666666666666667,0.5979166666666667,0.04284784125250653
1,0.03,0.0004,0.6125,0.04912427551063164
1,0.03,0.0005333333333333334,0.6104166666666666,0.04782600118020414
1,0.03,0.0006666666666666668,0.6145833333333333,0.03479852726768762
1,0.03,0.0008,0.6125,0.028565227501670988
1,0.03,0.0009333333333333333,0.6229166666666667,0.03991092512639169
1,0.03,0.0010666666666666667,0.6104166666666666,0.03529390488770295
1,0.03,0.0012000000000000001,0.6229166666666667,0.026269833776913512
1,0.03,0.0013333333333333335,0.59375,0.0381312608702565
1,0.03,0.0014666666666666667,0.6208333333333333,0.038864079387870065
1,0.03,0.0016,0.6145833333333334,0.041195249861010794
1,0.03,0.0017333333333333335,0.6041666666666667,0.028565227501671023
1,0.03,0.0018666666666666666,0.5916666666666667,0.047140452079103154
1,0.03,0.002,0.6145833333333334,0.04890289414293957
1,0.1,0.0,0.625,0.04639803635691684
1,0.1,0.00013333333333333334,0.6041666666666667,0.036084391824351594
1,0.1,0.0002666666666666667,0.59375,0.023477974311634675
1,0.1,0.0004,0.5875,0.03886407938787005
1,0.1,0.0005333333333333334,0.5854166666666667,0.02420614591379634
1,0.1,0.0006666666666666668,0.575,0.04330127018922192
1,0.1,0.0008,0.5833333333333333,0.035355339059327355
1,0.1,0.0009333333333333333,0.5833333333333334,0.03535533905932737
1,0.1,0.0010666666666666667,0.5979166666666667,0.04365068091616032
1,0.1,0.0012000000000000001,0.5750000000000001,0.04639803635691685
1,0.1,0.0013333333333333335,0.5958333333333333,0.042287048187884244
1,0.1,0.0014666666666666667,0.5958333333333334,0.03886407938787005
1,0.1,0.0016,0.58125,0.04119524986101081
1,0.1,0.0017333333333333335,0.5999999999999999,0.027638539919628335
1,0.1,0.0018666666666666666,0.6062500000000001,0.026269833776913522
1,0.1,0.002,0.5895833333333333,0.031110801089725165
2,0.001,0.0,0.5270833333333333,0.027559909490256163
2,0.001,0.00013333333333333334,0.4520833333333334,0.04890289414293959
2,0.001,0.0002666666666666667,0.40208333333333335,0.04960783708246109
2,0.001,0.0004,0.38333333333333336,0.04082482904638632
2,0.001,0.0005333333333333334,0.31875,0.04597515935565398
2,0.001,0.0006666666666666668,0.3354166666666667,0.05799754544614606
2,0.001,0.0008,0.32499999999999996,0.06614378277661477
2,0.001,0.0009333333333333333,0.35,0.03535533905932739
2,0.001,0.0010666666666666667,0.33125,0.04746160729122716
2,0.001,0.0012000000000000001,0.32291666666666663,0.039910925126391716
2,0.001,0.0013333333333333335,0.32708333333333334,0.03720952312394116
2,0.001,0.0014666666666666667,0.3125,0.06166103577895309
2,0.001,0.0016,0.3416666666666667,0.054006172486732174
