layer,head,method,k,n_bits_per_dim,bits_per_vector,budget,K_mse_logits,K_mae_logits,K_kl_divergence,K_l1_attention,K_top1_agreement
10,6,oracle,64,8,512,4bit,0.0012781302945085032,0.027822743839551578,0.0006275042969556171,0.027609988365725056,0.7470703125
10,6,transfer,64,8,512,4bit,0.005910848127046356,0.05820759967026317,0.0022079477183502135,0.04889111751397783,0.630859375
10,6,full_dim,128,4,512,4bit,0.0006532389581817041,0.019870419060516332,0.00032488145552461386,0.019815540719982455,0.828125
10,7,oracle,64,4,256,2bit,0.0019911591123730663,0.03517665709929009,0.0010059299596357108,0.035288093741485144,0.720703125
10,7,transfer,64,4,256,2bit,0.004632081820849051,0.053159968664369533,0.0019108790546712561,0.047637280315286454,0.56640625
10,7,full_dim,128,2,256,2bit,0.015312762544828794,0.09879558594471846,0.007618228863827627,0.09831089482741656,0.4296875
10,7,oracle,64,8,512,4bit,0.0011216460129224724,0.026073102549776205,0.0005756959393294788,0.026478427149442624,0.7822265625
10,7,transfer,64,8,512,4bit,0.003789255259847653,0.047705435536695574,0.00150495703604968,0.04174018118807421,0.626953125
10,7,full_dim,128,4,512,4bit,0.0006360662490584491,0.020037629035556625,0.0003098020252358051,0.019760475616518475,0.83984375
11,0,oracle,64,4,256,2bit,0.005046821937685529,0.055650972364501394,0.0026933121732978984,0.05744233894039399,0.7353515625
11,0,transfer,64,4,256,2bit,0.010647274852797095,0.07706768286791268,0.004896663760880144,0.07414504901120518,0.6337890625
11,0,full_dim,128,2,256,2bit,0.03041815083294968,0.13697630867769212,0.014769452969017514,0.1350310630936239,0.4560546875
11,0,oracle,64,8,512,4bit,0.003084338327857334,0.04312596481148787,0.0017878470704331879,0.04655191830433547,0.7783203125
11,0,transfer,64,8,512,4bit,0.00879594338154346,0.0682703297511946,0.0039919034531718765,0.06577195641101637,0.66015625
11,0,full_dim,128,4,512,4bit,0.0012793661374253923,0.02793388982426732,0.0006221723057659559,0.02764650707998967,0.841796875
11,1,oracle,64,4,256,2bit,0.003288182667601055,0.04551660509923522,0.0016213108303213823,0.04500920688232832,0.8623046875
11,1,transfer,64,4,256,2bit,0.008323173294195688,0.07360472872061408,0.0024132468046284615,0.05425747587906407,0.857421875
11,1,full_dim,128,2,256,2bit,0.021831468669410246,0.1164827920125385,0.010498952282159482,0.11394774770000571,0.734375
11,1,oracle,64,8,512,4bit,0.0015351990239126955,0.03087239980997257,0.0007277127631333819,0.02972629133640263,0.8984375
11,1,transfer,64,8,512,4bit,0.006463694375227992,0.06549425364459661,0.001556012556985929,0.04325483439020949,0.875
11,1,full_dim,128,4,512,4bit,0.0008634743885299749,0.023320559886092114,0.000429249389351636,0.02323252596220053,0.9345703125
11,2,oracle,64,4,256,2bit,0.0040640708217045286,0.04977369430855162,0.0022948439780249414,0.052394674357964736,0.7587890625
11,2,transfer,64,4,256,2bit,0.017290602656103223,0.09283366322432116,0.011104277722658904,0.09292532852869491,0.6962890625
11,2,full_dim,128,2,256,2bit,0.04009351557743502,0.15461231053660848,0.019032168764468633,0.15020543264727584,0.4814453125
11,2,oracle,64,8,512,4bit,0.0013457035744548302,0.028270087409476813,0.0007990415081662941,0.030654475581565047,0.8466796875
11,2,transfer,64,8,512,4bit,0.015235997946732673,0.08518388600572038,0.010143679247134947,0.08451829791454638,0.7099609375
11,2,full_dim,128,4,512,4bit,0.001675365168979362,0.03165405801972011,0.0008096490680160042,0.031237045897728227,0.845703125
11,3,oracle,64,4,256,2bit,0.0034757220634453498,0.046597256854881454,0.0018455291073360934,0.04785811098634462,0.7138671875
11,3,transfer,64,4,256,2bit,0.0158047315537537,0.1004226208605255,0.004112004295179093,0.06857678010844219,0.591796875
11,3,full_dim,128,2,256,2bit,0.024703393280395794,0.12404115808648608,0.012745727355529804,0.1257149742198102,0.443359375
11,3,oracle,64,8,512,4bit,0.0020157816914835834,0.0352222768084411,0.001134259785795713,0.037280009863174264,0.7861328125
11,3,transfer,64,8,512,4bit,0.014193757403836521,0.09562903163971656,0.0034258041342979705,0.061845860795533586,0.6494140625
11,3,full_dim,128,4,512,4bit,0.0009853440230934195,0.024910262933613387,0.0004899870455685181,0.024840605864529162,0.861328125
11,4,oracle,64,4,256,2bit,0.002650408321754512,0.04086491013822566,0.0013102920065651137,0.04059892138572902,0.7568359375
11,4,transfer,64,4,256,2bit,0.008703794770078115,0.07378142812995542,0.0026814624529596775,0.057017141559142295,0.638671875
11,4,full_dim,128,2,256,2bit,0.02211617614168391,0.11787285086637246,0.010694658068970249,0.116219981301253,0.427734375
11,4,oracle,64,8,512,4bit,0.001246212521521804,0.02786831461520489,0.0005995230548829277,0.027303573766546706,0.8125
11,4,transfer,64,8,512,4bit,0.007470771753350727,0.06854029063549055,0.001995873593871486,0.048784958344996035,0.701171875
11,4,full_dim,128,4,512,4bit,0.0008509886525779203,0.023177976353173674,0.00043814676320695514,0.023504902844790315,0.8232421875
11,5,oracle,64,4,256,2bit,0.0025576720057636842,0.039567023794371665,0.0014013787111521367,0.04110752280764496,0.6591796875
11,5,transfer,64,4,256,2bit,0.0080492782712614,0.06889000332306405,0.003247164396349639,0.05961226071226327,0.5244140625
11,5,full_dim,128,2,256,2bit,0.018092678336601525,0.10582603236292906,0.008912221934422558,0.10494512657160283,0.4833984375
11,5,oracle,64,8,512,4bit,0.0014437577321052468,0.028947649475299028,0.0008415393178369357,0.03111641704086535,0.703125
11,5,transfer,64,8,512,4bit,0.00706285433457381,0.06430502752402067,0.002748438597399188,0.05392815829431599,0.5732421875
11,5,full_dim,128,4,512,4bit,0.0007729704867741598,0.02186635362697598,0.0003805164950886733,0.02176743499636053,0.822265625
11,6,oracle,64,4,256,2bit,0.00307403009604964,0.04422886927916131,0.0014934839420102715,0.04348010205456372,0.7509765625
11,6,transfer,64,4,256,2bit,0.012605833431544124,0.08927624845923629,0.0037441486168859127,0.06619141700754838,0.5810546875
11,6,full_dim,128,2,256,2bit,0.020260629025988963,0.11255713500744559,0.010116971073540211,0.11259370768380728,0.46875
11,6,oracle,64,8,512,4bit,0.0020022209835605584,0.03546952019469595,0.0009598603608672005,0.03437591411037873,0.751953125
11,6,transfer,64,8,512,4bit,0.011789661404510342,0.08649528102719675,0.0032743016985107174,0.0612628444535155,0.5927734375
11,6,full_dim,128,4,512,4bit,0.0008250455148398299,0.022861430828538615,0.00041447462393095244,0.022911162377632768,0.859375
11,7,oracle,64,4,256,2bit,0.0005554232515677367,0.018545374169829973,0.00027675818287813483,0.018471071770153516,0.828125
11,7,transfer,64,4,256,2bit,0.001373410912341794,0.028873076182044998,0.0006088318535395263,0.02703294701142003,0.7568359375
11,7,full_dim,128,2,256,2bit,0.004707429128713099,0.05391475563330719,0.002342399119456529,0.053754269862334385,0.6728515625
