method,target_sparsity,actual_sparsity,test_mse_mean,test_mse_std,seed
L1,0.9,0.8942307692307693,0.6574470571631077,0.0,5
L1,0.9,0.8961538461538462,0.4870713822645106,0.0,6
L1,0.9,0.9153846153846154,0.4919011184462193,0.0,7
Random,0.0,0.0,0.3066216575878796,0.0,0
Random,0.0,0.0,0.1496295564036804,0.0,1
Random,0.0,0.0,0.14272937431508861,0.0,2
Random,0.0,0.0,0.21544598201658635,0.0,3
Random,0.0,0.0,0.17828811001537748,0.0,4
Random,0.0,0.0,0.2250084701765408,0.0,5
Random,0.0,0.0,0.2634682649150269,0.0,6
Random,0.0,0.0,0.21608178836425088,0.0,7
Random,0.25,0.25,0.2851861763044393,0.0,0
Random,0.25,0.25,0.44691612656673946,0.0,1
Random,0.25,0.25,0.2366047642615666,0.0,2
Random,0.25,0.25,0.5495873467703855,0.0,3
Random,0.25,0.25,0.3526292606733247,0.0,4
Random,0.25,0.25,0.3607080855087252,0.0,5
Random,0.25,0.25,0.42338477330450097,0.0,6
Random,0.25,0.25,0.2806178230543205,0.0,7
Random,0.5,0.5,0.3628430549646377,0.0,0
Random,0.5,0.5,0.563832924671776,0.0,1
Random,0.5,0.5,0.35101148334877547,0.0,2
Random,0.5,0.5,0.4194851058881165,0.0,3
Random,0.5,0.5,0.6407083221386838,0.0,4
Random,0.5,0.5,0.8869634573461839,0.0,5
Random,0.5,0.5,0.5091299469670785,0.0,6
Random,0.5,0.5,0.6360908387442659,0.0,7
Random,0.65,0.65,0.4414838357166079,0.0,0
Random,0.65,0.65,0.6860695138634573,0.0,1
Random,0.65,0.65,0.4205467963020403,0.0,2
Random,0.65,0.65,0.7787638522692366,0.0,3
Random,0.65,0.65,0.7760723320503012,0.0,4
Random,0.65,0.65,1.3674899294443041,0.0,5
Random,0.65,0.65,0.5223986247388941,0.0,6
Random,0.65,0.65,0.7528340689453985,0.0,7
Random,0.75,0.75,0.4973361269514118,0.0,0
Random,0.75,0.75,0.7510190479004261,0.0,1
Random,0.75,0.75,0.43749697328845305,0.0,2
Random,0.75,0.75,0.7920691067838748,0.0,3
Random,0.75,0.75,0.8182794773772901,0.0,4
Random,0.75,0.75,1.0771174690086072,0.0,5
Random,0.75,0.75,0.6319777192477796,0.0,6
Random,0.75,0.75,0.7486292147109394,0.0,7
Random,0.85,0.85,0.5323081023111369,0.0,0
Random,0.85,0.85,0.8163430617918714,0.0,1
Random,0.85,0.85,0.46441329954158966,0.0,2
Random,0.85,0.85,0.9940374244498364,0.0,3
Random,0.85,0.85,0.990885882298517,0.0,4
Random,0.85,0.85,1.3656930364927655,0.0,5
Random,0.85,0.85,0.6546297846041974,0.0,6
Random,0.85,0.85,0.8004669638262296,0.0,7
Random,0.9,0.9,0.49743951495687755,0.0,0
Random,0.9,0.9,0.8413308907169232,0.0,1
Random,0.9,0.9,0.4622410418530015,0.0,2
Random,0.9,0.9,0.9781679571532045,0.0,3
Random,0.9,0.9,0.9975533744072107,0.0,4
Random,0.9,0.9,1.303179484497223,0.0,5
Random,0.9,0.9,0.6759863535551556,0.0,6
Random,0.9,0.9,0.8381852471087244,0.0,7
