layer,head,kv_type,method,k,n_bits,bits_per_vector,eff_rank_V_90,eff_rank_K_90,V_mse_logits,V_mae_logits,V_kl_divergence,V_l1_attention,V_top1_agreement
37,3,V,subspace_k48,48,5,240,61.0,33.0,6933.316841748674,65.75615622063077,12.964742541402781,1.2323955783540868,0.38671875
37,3,V,subspace_k64,64,4,256,61.0,33.0,5495.738207554088,58.43452428223932,11.125705263090003,1.0926555135459215,0.45703125
37,3,V,full_dim,128,4,512,61.0,33.0,406.9363104791704,15.94588422903103,2.8616282199649836,0.3580527398401247,0.8203125
37,3,V,subspace_k16,16,32,512,61.0,33.0,178858.64933978394,332.71361839265364,22.991740566483216,2.0,0.0
37,3,V,subspace_k32,32,16,512,61.0,33.0,9540.848841022214,77.1027353688176,14.946976874343523,1.3825875053832366,0.30859375
37,3,V,subspace_k48,48,11,528,61.0,33.0,6896.010876448623,65.56618800509676,13.088759584029116,1.2495717537043913,0.375
37,3,V,subspace_k64,64,8,512,61.0,33.0,5172.703525358898,56.747387926564464,11.190930422775153,1.1046454844199816,0.4453125
37,3,V,full_dim,128,8,1024,61.0,33.0,1.4446741554913447,0.9506400360397134,0.009789413742991493,0.024911755991676783,0.984375
37,3,V,subspace_k16,16,64,1024,61.0,33.0,234392.73333761087,387.89008370369913,5.511067055422322,1.9912834606710443,0.00390625
37,3,V,subspace_k32,32,32,1024,61.0,33.0,174259.55568211453,324.8372578329486,22.837047329679656,1.992180426409352,0.00390625
37,3,V,subspace_k48,48,21,1008,61.0,33.0,6895.853706878603,65.56580613336199,13.09337516667236,1.2501381631273247,0.375
37,3,V,subspace_k64,64,16,1024,61.0,33.0,5168.725232647257,56.72289674386185,11.208045489504538,1.1014208033589254,0.44921875
37,4,V,full_dim,128,2,256,68.0,48.0,502.0663436899005,17.75308020681162,9.131739965810812,1.0761061870774837,0.47265625
37,4,V,subspace_k16,16,16,256,68.0,48.0,779.9217695020163,22.04019813473152,14.069512544763139,1.5598654244426018,0.2265625
37,4,V,subspace_k32,32,8,256,68.0,48.0,574.5314669162804,18.93113726243257,11.646148891306353,1.3677141209294705,0.31640625
37,4,V,subspace_k48,48,5,240,68.0,48.0,428.8991719314732,16.378364708836454,10.33992256802065,1.2633425889002563,0.359375
37,4,V,subspace_k64,64,4,256,68.0,48.0,339.38043468275373,14.575770519509451,8.324208351873006,1.0960425383038732,0.4375
37,4,V,full_dim,128,4,512,68.0,48.0,20.02967685483675,3.548733951939198,0.603542138228939,0.2938311922691098,0.83984375
37,4,V,subspace_k16,16,32,512,68.0,48.0,7634.072328631228,69.15952631219754,22.87753879087579,1.999999973155739,0.0
37,4,V,subspace_k32,32,16,512,68.0,48.0,574.6029187263113,18.933488226187727,11.641057847733359,1.3684092002860264,0.31640625
37,4,V,subspace_k48,48,11,528,68.0,48.0,424.39844640756775,16.296456966206417,10.281312268031384,1.243944161499,0.37109375
37,4,V,subspace_k64,64,8,512,68.0,48.0,322.3902699255564,14.19481102840098,7.926177997464013,1.0143550778726251,0.48828125
37,4,V,full_dim,128,8,1024,68.0,48.0,0.0719653557631704,0.21271346190175106,0.0018436512994220921,0.01782799850137569,0.99609375
37,4,V,subspace_k16,16,64,1024,68.0,48.0,10472.909416926854,82.39907488602024,5.423011283613354,1.9876316133078271,0.0078125
37,4,V,subspace_k32,32,32,1024,68.0,48.0,7125.309007777408,66.56474667057228,22.903684794602896,1.9999999999999036,0.0
37,4,V,subspace_k48,48,21,1008,68.0,48.0,424.3867171191482,16.296194871340134,10.280853266948743,1.2439337352864568,0.37109375
37,4,V,subspace_k64,64,16,1024,68.0,48.0,322.2997659700658,14.192802121315367,7.902004841677286,1.0161521724466933,0.48828125
37,5,V,full_dim,128,2,256,63.0,38.0,4871.705779293167,55.246865688252555,13.263762346007622,1.2590216349630152,0.3671875
37,5,V,subspace_k16,16,16,256,63.0,38.0,7275.573881255357,67.19241830369869,16.386973497611518,1.5213055880865005,0.23828125
37,5,V,subspace_k32,32,8,256,63.0,38.0,5309.444879322064,57.43514848658731,14.34671441919292,1.3485574979087795,0.32421875
37,5,V,subspace_k48,48,5,240,63.0,38.0,3831.6730401745563,48.83921299274604,12.3725136036158,1.1901222855235831,0.3984375
37,5,V,subspace_k64,64,4,256,63.0,38.0,2911.8936676147496,42.57455276142575,11.105029128163856,1.1006065991556269,0.44921875
37,5,V,full_dim,128,4,512,63.0,38.0,188.0223851277771,10.888250355104676,1.6112668236791898,0.2914740663093325,0.8515625
37,5,V,subspace_k16,16,32,512,63.0,38.0,69040.92852584174,206.59291127893135,23.000197547362745,2.0,0.0
37,5,V,subspace_k32,32,16,512,63.0,38.0,5308.566478720728,57.43057098426736,14.351966145678002,1.3496031805339064,0.3203125
37,5,V,subspace_k48,48,11,528,63.0,38.0,3796.7385397852418,48.62971379948412,12.32944896482978,1.197511042006048,0.40234375
37,5,V,subspace_k64,64,8,512,63.0,38.0,2775.9948813227466,41.550753493339656,10.777605809770577,1.0797315607083013,0.4609375
37,5,V,full_dim,128,8,1024,63.0,38.0,0.6952421305660748,0.6596208475702008,0.007843532884718339,0.015392245924180568,0.99609375
37,5,V,subspace_k16,16,64,1024,63.0,38.0,87915.19783773916,233.25520006491342,5.5195240363090345,1.9912003158216773,0.00390625
37,5,V,subspace_k32,32,32,1024,63.0,38.0,73013.63213801717,213.5391790950274,23.00019754736993,2.0,0.0
37,5,V,subspace_k48,48,21,1008,63.0,38.0,3796.9336782272158,48.63105948465377,12.330040394604792,1.19791302469369,0.3984375
37,5,V,subspace_k64,64,16,1024,63.0,38.0,2775.8720360416546,41.549741570589255,10.763942579160343,1.0803370896554223,0.4609375
37,6,V,full_dim,128,2,256,56.0,52.0,5413.0407474928,58.24799086070943,13.53929022059557,1.2562888679019566,0.375
37,6,V,subspace_k16,16,16,256,56.0,52.0,6665.923272171807,64.62882290633635,15.334345887817186,1.4484321959976203,0.2734375
37,6,V,subspace_k32,32,8,256,56.0,52.0,4599.0359437832885,53.42321145470366,12.789857505348959,1.2340497581113947,0.3828125
37,6,V,subspace_k48,48,5,240,56.0,52.0,3425.759110696496,46.09693308433466,11.685873650490343,1.1263531535987643,0.4296875
37,6,V,subspace_k64,64,4,256,56.0,52.0,2697.0739136117954,40.99026320300569,10.52140162280173,1.0246577671925312,0.48828125
37,6,V,full_dim,128,4,512,56.0,52.0,219.55804519398325,11.73935229904221,1.7335710235498631,0.29674246072331834,0.859375
37,6,V,subspace_k16,16,32,512,56.0,52.0,76687.63553250968,217.74307284407956,22.985977281716632,2.0,0.0
37,6,V,subspace_k32,32,16,512,56.0,52.0,4598.63338081511,53.42324528951207,12.808984035836495,1.237818503131431,0.37890625
37,6,V,subspace_k48,48,11,528,56.0,52.0,3378.87099166831,45.78151570734112,11.56079230197424,1.1388463230828667,0.4296875
37,6,V,subspace_k64,64,8,512,56.0,52.0,2518.7046401744115,39.53529519363078,9.711397105899916,1.0018581404552291,0.49609375
37,6,V,full_dim,128,8,1024,56.0,52.0,0.7447160855060821,0.6839042105386648,0.007001441962211644,0.01985278993653136,0.98828125
37,6,V,subspace_k16,16,64,1024,56.0,52.0,95902.21370525873,247.02637444982525,5.50530377065588,1.9909415467265568,0.0
37,6,V,subspace_k32,32,32,1024,56.0,52.0,71216.06365776563,210.32542397100906,22.985977281716774,2.0,0.0
37,6,V,subspace_k48,48,21,1008,56.0,52.0,3378.8023487188043,45.781064768457455,11.560593365647058,1.1382912084757146,0.4296875
37,6,V,subspace_k64,64,16,1024,56.0,52.0,2517.2855342747616,39.52261437133626,9.722685946051442,0.9981760882319071,0.49609375
37,7,V,full_dim,128,2,256,45.0,50.0,3634.1556543908073,47.59405704605426,12.061490066546668,1.1164057184905363,0.44140625
37,7,V,subspace_k16,16,16,256,45.0,50.0,3851.0909264427364,48.818257194877916,13.442057063734332,1.3456191182421207,0.32421875
37,7,V,subspace_k32,32,8,256,45.0,50.0,2540.491737133474,39.661225563743656,12.157667809985924,1.2384910516525947,0.37890625
37,7,V,subspace_k48,48,5,240,45.0,50.0,1809.3602860925844,33.44511320913677,10.21049236659908,1.0812013284756818,0.45703125
37,7,V,subspace_k64,64,4,256,45.0,50.0,1458.4222693937666,30.00014420956097,8.58664936238651,0.9134847049072028,0.546875
37,7,V,full_dim,128,4,512,45.0,50.0,138.26613503471194,9.28244115311831,1.3871153059633654,0.3266125531648365,0.83203125
37,7,V,subspace_k16,16,32,512,45.0,50.0,67532.31740284644,204.09608451574562,22.989172120276535,2.0,0.0
37,7,V,subspace_k32,32,16,512,45.0,50.0,2541.3076217644293,39.664075027174476,12.14753086320286,1.2355584353922333,0.3828125
37,7,V,subspace_k48,48,11,528,45.0,50.0,1792.2963084785383,33.27754503824208,10.2500717824503,1.0474350541005477,0.48046875
37,7,V,subspace_k64,64,8,512,45.0,50.0,1309.384747749093,28.388979992263586,8.249548935115492,0.8685278155931853,0.57421875
37,7,V,full_dim,128,8,1024,45.0,50.0,0.4988418942182442,0.5552208548044811,0.006243812948908177,0.019890028872109354,0.984375
37,7,V,subspace_k16,16,64,1024,45.0,50.0,80514.56948134751,226.75307835306887,5.508498609215642,1.9908851754266714,0.01171875
37,7,V,subspace_k32,32,32,1024,45.0,50.0,112995.67456207471,261.3240026449761,22.989172120276535,2.0,0.0
37,7,V,subspace_k48,48,21,1008,45.0,50.0,1792.0414433908086,33.275224489061856,10.245012621585191,1.0469642729186899,0.48046875
37,7,V,subspace_k64,64,16,1024,45.0,50.0,1306.7760672963705,28.35966561318004,8.211995886468632,0.8598890719933846,0.578125
38,0,V,full_dim,128,2,256,57.0,39.0,4122.933954837406,50.668240762790376,12.937421162408333,1.21568185040499,0.38671875
38,0,V,subspace_k16,16,16,256,57.0,39.0,4855.991648614285,54.50042400834881,15.203866519651699,1.4556558475062968,0.265625
38,0,V,subspace_k32,32,8,256,57.0,39.0,3383.5406428223123,45.549641428632626,12.453544287931503,1.2346858541691375,0.390625
38,0,V,subspace_k48,48,5,240,57.0,39.0,2639.3050003108783,40.34819877642262,10.31319070024799,1.071784015532629,0.46484375
38,0,V,subspace_k64,64,4,256,57.0,39.0,2150.518260589575,36.4372814537086,10.394839456636058,1.074293750512152,0.4609375
38,0,V,full_dim,128,4,512,57.0,39.0,161.98220201258272,10.038185563209879,2.137588249284513,0.36813295432248894,0.8125
38,0,V,subspace_k16,16,32,512,57.0,39.0,63800.18954131921,199.84838704912556,22.979412507355768,2.0,0.0
38,0,V,subspace_k32,32,16,512,57.0,39.0,3382.834784686487,45.54313236990356,12.467889063968808,1.2332201069874524,0.38671875
38,0,V,subspace_k48,48,11,528,57.0,39.0,2618.2160622030433,40.161213195647406,10.227347264557935,1.0612663609983386,0.47265625
38,0,V,subspace_k64,64,8,512,57.0,39.0,1991.3052912011967,35.07264349398421,9.627335532115216,0.9975537564268118,0.5
38,0,V,full_dim,128,8,1024,57.0,39.0,0.5866962740314294,0.6034225056290244,0.00922864309993253,0.028496237109113788,0.9765625
38,0,V,subspace_k16,16,64,1024,57.0,39.0,76376.4221788189,220.331084400802,5.498738996294875,1.9909534160250753,0.0
38,0,V,subspace_k32,32,32,1024,57.0,39.0,73401.18913194654,214.71606951322363,22.979412507355768,2.0,0.0
38,0,V,subspace_k48,48,21,1008,57.0,39.0,2618.2398222863994,40.16140139450428,10.225358540670225,1.061198792724411,0.47265625
38,0,V,subspace_k64,64,16,1024,57.0,39.0,1990.181344543911,35.05909556937067,9.630682879099911,0.9990937503767084,0.5
38,1,V,full_dim,128,2,256,64.0,43.0,6086.449573987355,61.81180718939497,13.293035568727358,1.2339283951338627,0.3828125
38,1,V,subspace_k16,16,16,256,64.0,43.0,9100.719984311334,75.3267818602931,16.98576133143981,1.5493743976187422,0.2265625
38,1,V,subspace_k32,32,8,256,64.0,43.0,6144.530076576068,61.91676279747417,14.398157362095453,1.3654284818072226,0.3125
